2,0,1,0,0,0,0,0,0,0
134,0,0,84,80,65,79,0,72,76
128,114,117,100,0,0,102,117,116,106
138,139,149,147,114,141,145,115,144,143
137,169,168,0,167,170,164,165,172,180
192,149,182,193,165,187,188,184,188,151
213,213,185,215,242,203,208,166,206,212
215,228,184,230,241,229,234,191,239,236
245,248,211,257,288,250,269,227,253,194
278,264,245,273,220,270,199,278,285,257
285,229,278,218,297,317,304,299,258,300
251,336,315,318,304,310,314,270,317,244
329,258,331,372,332,340,327,342,297,345
272,367,267,358,351,372,359,358,363,322
381,326,370,277,369,275,376,364,375,378
395,396,369,399,347,385,314,396,298,383
314,420,395,422,470,423,426,402,431,361
436,365,419,340,421,315,436,318,412,442
434,423,440,434,426,440,398,443,382,442
322,442,345,473,343,524,513,463,492,476
500,445,505,427,520,390,500,359,499,479
488,610,506,514,516,517,445,542,402,538
380,537,467,500,499,502,512,509,495,446
568,387,569,387,543,559,564,533,546,553
506,538,429,537,373,597,524,594,676,623
581,505,567,485,665,429,592,410,687,572
584,615,567,590,496,568,430,586,574,560
705,633,638,594,674,520,627,419,803,774
641,732,627,626,558,738,483,650,393,654
670,673,590,651,714,545,697,465,744,709
745,663,622,681,644,716,463,661,485,715
666,690,683,598,658,545,694,464,654,444
715,707,703,686,691,654,707,665,663,677
656,730,677,806,685,698,662,709,628,713
622,740,605,724,577,742,564,775,531,749
504,698,469,767,503,755,531,684,595,748
590,728,643,720,718,783,722,779,778,1132
830,880,1023,650,759,717,908,840,762,779
511,788,752,905,829,508,831,752,913,887
560,938,793,571,836,752,917,1002,714,888
950,582,970,1000,539,1018,832,529,892,824
619,974,920,631,1119,941,788,562,1019,834
586,907,874,879,812,1023,975,654,989,879
747,547,839,844,733,905,962,978,689,807
920,842,652,978,1001,1216,858,1077,989,945
727,589,908,988,865,755,1073,1227,1232,814
623,871,952,943,1406,751,1027,973,1023,978
889,794,718,655,1270,1013,961,923,847,683
624,1008,1090,1006,979,930,946,872,758,633
