265,383,157,164,160,142,179,137,161,137
229,147,175,308,252,273,234,158,222,235
270,267,254,285,175,166,286,257,259,234
261,267,269,258,292,262,261,304,279,276
316,274,279,192,291,283,282,282,290,277
302,317,300,290,258,295,296,292,289,346
308,328,292,326,324,302,318,334,308,316
306,323,353,326,322,338,324,363,326,330
321,343,350,343,360,328,335,304,341,408
346,354,334,354,297,350,417,338,344,345
357,295,346,420,367,372,429,381,333,379
437,397,391,395,379,365,395,345,380,415
397,452,386,394,401,393,402,406,336,402
434,421,466,417,416,424,411,412,415,390
428,389,414,407,409,462,419,414,421,413
434,435,421,444,387,425,383,420,450,425
526,458,443,443,465,466,462,447,468,416
453,424,455,368,432,482,448,526,449,451
443,451,461,466,467,483,433,475,483,512
485,472,548,538,635,526,518,500,500,533
558,489,513,475,546,428,496,544,493,552
532,504,544,536,533,553,469,546,442,578
601,553,515,521,507,533,521,529,573,449
574,427,578,632,581,549,577,565,542,559
538,555,432,557,564,582,590,655,630,596
569,516,539,512,629,638,600,797,657,584
585,609,545,580,503,585,426,586,573,567
618,680,629,587,660,534,648,629,637,768
624,740,650,648,540,716,483,618,721,615
687,624,581,632,673,542,684,662,646,662
649,637,651,647,538,654,466,668,900,718
655,649,645,588,654,541,594,457,645,838
665,679,659,653,662,674,647,638,630,624
640,697,656,820,673,706,647,730,575,685
602,718,591,714,554,670,546,728,540,762
505,667,677,719,495,669,539,667,533,659
576,773,592,644,683,709,688,724,700,785
812,788,958,750,759,614,754,701,738,756
458,674,658,751,743,710,761,681,772,860
579,768,724,814,781,808,742,855,640,743
778,729,745,794,788,915,759,780,755,769
821,780,847,576,879,810,680,1124,773,712
822,752,768,612,971,802,816,597,784,797
658,842,733,748,665,977,805,797,630,823
828,748,565,853,860,947,607,1112,834,738
747,1006,803,947,970,614,921,1256,1183,819
576,801,842,822,1240,647,914,810,856,850
768,742,639,1076,897,821,874,781,750,604
896,904,919,872,845,804,781,752,699,548
