6,3,4,2,2
78,47,87,57,37
465,120,125,171,155
336,334,354,342,345
718,736,718,718,712
1261,1249,1261,1245,1308
2103,2089,2113,2107,2124
3234,3215,3185,3613,3764
5065,5100,4603,4523,4503
6067,5950,6117,6261,6200
