150,147,152,139,136,129,134,145,127,133
1508,1525,1501,524,1471,519,1489,1494,1522,1505
3469,3449,3510,3467,3451,3468,3511,3452,3488,3505
6242,6306,6323,6315,6230,6244,6247,6236,6243,6300
9765,9809,9869,9917,9778,9932,9827,9844,9892,9878
14275,14215,14287,14249,14423,14645,14716,14774,14233,14427
19743,20010,19744,19626,20175,19862,19975,19712,19570,19961
25898,25364,25735,25486,25621,25748,25611,26037,25952,25744
33084,32662,32851,32438,32964,32539,32109,32586,33007,33164
